127.0.0.1 - - [31/Mar/2015:11:03:55 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [31/Mar/2015:11:05:19 +0200] "POST /N3toSWRL/mapping/input HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [31/Mar/2015:11:08:41 +0200] "POST /N3toSWRL/mapping/input HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [31/Mar/2015:11:15:14 +0200] "POST /SemFormToRule/semafor/input HTTP/1.1" 500 3327
0:0:0:0:0:0:0:1 - - [31/Mar/2015:11:17:57 +0200] "POST /SemFormToRule/semafor/input HTTP/1.1" 500 3327
0:0:0:0:0:0:0:1 - - [31/Mar/2015:11:19:54 +0200] "POST /SemFormToRule/semafor/input HTTP/1.1" 500 3327
0:0:0:0:0:0:0:1 - - [31/Mar/2015:11:23:18 +0200] "POST /SemFormToRule/semafor/input HTTP/1.1" 500 3327
0:0:0:0:0:0:0:1 - - [31/Mar/2015:11:24:56 +0200] "POST /SemFormToRule/semafor/input HTTP/1.1" 500 3327
0:0:0:0:0:0:0:1 - - [31/Mar/2015:12:48:10 +0200] "POST /N3ReasonerFiles/reasoner/input HTTP/1.1" 500 6234
0:0:0:0:0:0:0:1 - - [31/Mar/2015:12:50:13 +0200] "POST /N3ReasonerFiles/reasoner/input HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [31/Mar/2015:12:51:25 +0200] "POST /N3ReasonerFiles/reasoner/input HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [31/Mar/2015:12:53:59 +0200] "POST /N3ReasonerFiles/reasoner/input HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [31/Mar/2015:12:54:27 +0200] "POST /N3ReasonerFiles/reasoner/input HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [31/Mar/2015:14:55:43 +0200] "GET /N3ReasonerFiles/files/input/patient.ttl HTTP/1.1" 200 182526
0:0:0:0:0:0:0:1 - - [31/Mar/2015:14:55:44 +0200] "GET /N3ReasonerFiles/files/input/rule_RINGSELECTION.n3 HTTP/1.1" 200 14439
0:0:0:0:0:0:0:1 - - [31/Mar/2015:14:55:50 +0200] "POST /N3ReasonerFiles/reasoner/input HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [31/Mar/2015:14:56:35 +0200] "GET /N3ReasonerFiles/files/input/universal_patient1.ttl HTTP/1.1" 200 3463
0:0:0:0:0:0:0:1 - - [31/Mar/2015:14:56:35 +0200] "GET /N3ReasonerFiles/files/input/rule_RINGSELECTION.n3 HTTP/1.1" 200 14439
0:0:0:0:0:0:0:1 - - [31/Mar/2015:14:56:43 +0200] "POST /N3ReasonerFiles/reasoner/input HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [31/Mar/2015:14:57:28 +0200] "GET /N3ReasonerFiles/files/input/patient.ttl HTTP/1.1" 200 182526
0:0:0:0:0:0:0:1 - - [31/Mar/2015:14:57:29 +0200] "GET /N3ReasonerFiles/files/input/rule_RINGSELECTION.n3 HTTP/1.1" 200 14439
0:0:0:0:0:0:0:1 - - [31/Mar/2015:14:57:35 +0200] "POST /N3ReasonerFiles/reasoner/input HTTP/1.1" 204 -
